suburb,density,property,price,rooms,bedroom,toilets,ensuite,type,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
104,1,0,80,2,0,1,0,1,29,0,0,0,0,0,1,0,0,0,0,0
105,1,0,125,3,0,1,0,1,29,0,0,0,0,0,1,0,0,1,0,0
49,1,0,120,4,2,1,0,0,13,2,0,0,0,0,1,0,1,1,0,0
161,1,0,120,2,0,1,0,1,28,0,0,0,0,0,1,0,1,1,0,0
107,0,0,30,2,0,1,0,1,12,2,0,0,0,0,0,0,0,1,0,0
135,1,0,130,3,0,1,0,1,28,0,0,0,0,0,1,0,0,0,0,0
26,0,0,40,1,1,1,0,1,18,2,0,0,0,0,1,0,1,1,0,0
134,1,0,90,2,0,1,0,1,28,0,0,0,0,0,1,0,1,0,0,0
132,1,0,100,2,0,1,0,1,28,0,0,0,0,0,1,0,1,0,0,0
140,1,0,90,2,0,1,0,1,3,0,0,0,0,0,1,0,0,1,0,0
137,1,0,90,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
109,3,3,600,5,3,2,1,0,16,2,0,0,1,0,1,1,1,1,0,1
133,1,0,150,2,0,1,0,1,28,0,0,0,0,0,0,0,0,0,0,0
139,1,0,80,2,0,1,0,1,28,0,0,0,0,0,0,0,0,0,0,0
136,1,0,90,2,0,1,0,1,28,0,0,0,0,0,0,0,0,0,0,0
0,1,1,250,4,2,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0
37,0,0,40,1,0,1,0,1,18,2,0,0,0,0,1,0,1,0,0,0
155,0,0,60,1,1,1,0,1,7,1,0,0,0,0,1,0,1,1,0,1
121,0,0,60,1,0,1,0,1,7,1,0,0,0,0,1,0,1,0,0,0
47,0,0,60,2,0,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0
50,0,0,35,1,0,1,0,1,6,1,0,0,0,0,1,0,1,1,0,0
85,0,0,60,2,0,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0
115,0,0,60,2,0,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0
30,0,0,60,2,9,1,0,1,4,2,0,0,0,0,0,0,1,1,0,0
149,1,0,70,1,0,1,0,1,11,2,0,0,0,0,0,0,0,0,0,0
12,0,1,60,2,0,1,0,1,18,2,0,0,0,0,0,0,0,1,0,0
95,0,0,65,2,0,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0
88,0,3,90,2,0,1,0,0,7,1,0,0,0,0,1,0,1,0,0,0
129,0,0,70,2,0,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0
120,0,0,70,2,0,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0
148,2,1,600,4,2,1,0,0,12,2,0,0,1,0,1,0,1,0,0,1
106,0,0,70,2,0,1,0,1,7,1,0,0,0,0,0,0,0,1,0,0
27,3,3,650,5,3,1,0,0,16,2,0,0,0,0,1,0,1,1,0,1
110,0,0,75,2,0,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0
28,0,0,75,2,0,1,0,1,7,1,0,0,0,0,1,0,0,0,0,0
42,0,0,80,2,0,1,0,1,18,1,0,0,0,0,0,0,0,1,0,0
89,0,0,80,2,0,1,0,1,6,1,0,0,0,0,0,0,0,1,0,0
11,0,0,80,2,0,1,0,1,6,1,0,0,0,0,1,0,1,0,0,0
147,1,0,55,1,0,1,0,1,4,2,0,0,0,0,1,0,1,0,0,0
125,1,0,55,1,0,1,0,1,4,2,0,0,0,0,1,0,1,0,0,0
27,3,3,650,6,3,2,1,0,16,2,4,0,1,3,0,0,1,0,0,1
150,3,3,650,6,3,2,1,0,16,2,0,0,1,0,1,0,1,1,0,1
63,3,3,700,8,4,4,3,0,16,2,2,0,1,0,1,1,1,1,1,1
96,1,0,50,1,0,1,0,1,22,2,0,0,0,0,1,0,1,0,0,0
127,1,0,50,1,0,1,0,1,4,2,0,0,0,0,1,0,1,0,0,0
117,1,1,200,3,0,1,0,0,24,2,0,0,0,0,1,0,1,0,0,0
93,1,1,200,3,2,1,0,0,24,2,0,0,0,0,1,0,1,0,0,0
124,1,0,48,1,0,1,0,1,4,2,0,0,0,0,1,0,1,1,0,0
1,1,0,45,1,0,1,0,1,4,2,0,0,0,0,1,0,1,0,0,0
38,1,0,45,1,0,1,0,1,18,2,0,0,0,0,1,0,1,0,0,0
119,1,0,45,1,0,1,0,1,18,2,0,0,0,0,0,0,0,0,0,0
39,1,1,200,3,1,1,0,0,27,2,0,0,0,0,1,0,1,0,0,0
23,1,1,160,3,0,1,0,0,9,2,0,0,0,0,1,0,1,0,0,0
101,0,0,80,2,0,1,0,1,6,1,0,0,0,0,0,0,0,1,0,0
163,0,0,80,3,0,1,0,1,18,1,0,0,0,0,0,0,0,0,0,0
55,1,1,150,3,0,1,0,0,18,1,0,0,0,0,1,0,0,1,0,0
149,1,1,140,2,0,1,0,0,11,2,1,0,0,0,1,0,1,0,0,0
113,1,0,30,1,0,1,0,1,18,2,0,0,0,0,0,0,0,0,0,0
73,1,1,125,2,0,1,0,0,11,2,0,0,0,0,1,0,1,0,0,0
48,1,0,30,2,0,1,0,1,13,2,0,0,0,0,0,0,0,0,0,0
63,3,3,650,6,3,2,1,0,16,2,2,0,0,0,1,1,1,1,0,1
82,1,0,300,6,3,2,0,1,24,2,0,0,0,0,1,0,1,0,0,0
34,0,1,100,3,0,1,0,1,4,2,0,0,0,0,0,0,0,1,0,0
78,1,0,300,5,3,1,0,1,20,2,0,0,0,0,1,0,1,0,0,0
157,1,2,300,4,2,1,0,0,9,2,0,0,1,0,1,0,1,0,0,0
