Address,Longitude,Latitude
2928 2928 ST MARYS ,31.029535,-17.9976354
2615 ST MARYS ,31.03382085,-17.99648995
2600 ST MARYS,31.03333235,-17.99591059
2595 ST MARYS,31.03325943,-17.99563874
2622 ST MARYS,31.03019468,-17.99741938
2903 ST MARYS,31.02958962,-17.99757838
8266 ST MARYS,31.03259964,-17.99805267
2642 ST MARYS,31.03271499,-17.99645487
8255 ST MARYS,31.03238194,-17.99765804
2909 ST MARYS,31.03020834,-17.99749964
2597 ST MARYS,31.03334574,-17.99569228
2613 ST MARYS ,31.03391199,-17.99640673
2943 ST MARYS,31.03015015,-17.99709003
2598 ST MARYS,31.03323716,-17.9958541
8243 ST MARYS,31.03158874,-17.99782935
2668 MONGO,31.03335794,-17.99627405
2895 ST MARYS,31.03015572,-17.99789394
2938 ST MARYS,31.02968648,-17.99714423
8257 8257 CHITUNGWIZA ST MARYS ROAD,31.0321848,-17.9977857
8192 ST MARYS,31.03126812,-17.99685697
8259 ST MARYS,31.03208891,-17.99797446
2616 ST MARYS,31.03073904,-17.99735199
6797 ST MARYS,31.03320169,-17.99834718
2911 ST MARYS,31.03039471,-17.99748467
8276 ST MARYS,31.03263159,-17.99816985
2603 ST MARYS,31.03363596,-17.99586935
2899 MANYAME PARK,31.0297794,-17.99794514
2636 ST MARYS,31.033008,-17.99663224
2599 ST MARYS,31.03343865,-17.99574649
2621 ST MARYS ,31.03366868,-17.99674238
2640 ST MARYS,31.03280789,-17.99651389
8207 ST MARYS,31.03290738,-17.99714801
8216 ST MARYS,31.03265168,-17.99715494
2898 ST MARYS,31.02985466,-17.99792923
8264 ST MARYS,31.03242203,-17.9981995
2644,31.0325269,-17.9963842
2667,31.0331807,-17.9964029
2621 BANGO ROAD ST MARY,31.0337627,-17.996731
2629 BANGO ROAD ST MARY,31.0331087,-17.9969176
2635 BANGO ROAD,31.0329307,-17.9967152
2643 BANGO ROAD,31.032416,-17.9965527
2657,31.032748,-17.9960795
9290 ST MARYS ST MARYS ,31.0341299,-17.9967267
2666 MHONGO STREET,31.0332638,-17.9960522
2648,31.0324963,-17.9961627
8288 ST MARYS,31.03328566,-17.99792503
2580 ST MARYS,31.03324966,-17.99528545
2485 144 CHIRATIDZO ST MARYS DRIVE,31.03477859,-17.99595155
2425 ST MARYS,31.03630251,-17.99660998
2361 ST MARYS,31.03650213,-17.99713646
2396 ST MARYS,31.03585056,-17.99552127
2447 ST MARYS ,31.03530242,-17.9965672
,31.03622814,-17.99593471
2388 ST MARYS,31.03622703,-17.99576019
2384,31.03642486,-17.99588034
2403,31.0352467,-17.9960246
2395,31.0357971,-17.9958064
2453 GONJE,31.0349299,-17.9964684
2394,31.03592477,-17.99557719
2385,31.0364136,-17.9960713
2350 ST MARYS,31.03621121,-17.99780577
2480 MAMINIMINI ST MARYS ,31.03474626,-17.99617194
2530 CHIRATIDZO ST MARYS,31.03357502,-17.99435387
2492 ST MARYS,31.03503582,-17.99574522
2422 ST MARYS,31.03626786,-17.99648321
2509 ST MARYS,31.0346744,-17.99479873
2540 CHIRATIDZO ST MARYS,31.03370733,-17.99500638
2520 ST MARYS,31.03407996,-17.99467008
2571 ST MARYS,31.03374885,-17.99536496
