suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
24,3,3,650,6,3,2,1,4,26,2,1,0,1,0,1,0,1,1,0,1
72,1,3,400,6,3,2,1,3,17,2,2,0,1,0,1,1,1,1,0,0
167,3,3,650,6,2,2,1,4,27,2,1,0,1,0,1,0,1,0,0,1
9,3,3,550,6,4,2,1,3,11,2,0,0,1,0,1,0,1,1,1,1
163,3,3,550,6,4,2,1,3,16,2,0,0,1,0,1,0,1,1,0,1
163,3,3,650,6,3,2,1,4,16,2,0,0,1,0,1,0,1,1,0,1
144,3,3,500,6,3,2,1,3,14,2,1,0,1,0,1,0,1,1,0,0
69,3,1,520,5,3,2,1,3,16,2,1,0,1,0,1,0,1,1,0,1
85,1,3,350,6,3,1,1,3,19,2,0,0,0,0,1,0,1,0,0,0
85,1,3,330,6,4,2,1,3,19,2,0,0,0,0,1,0,1,0,0,0
163,3,3,550,5,3,2,1,4,16,2,1,0,1,0,1,1,1,1,0,1
59,1,3,320,6,3,2,1,3,8,2,0,0,0,0,1,0,1,0,0,0
89,1,3,300,6,3,2,0,3,24,2,0,0,0,0,1,0,1,0,0,0
174,1,3,300,6,4,2,1,3,28,0,0,0,1,0,1,0,1,0,0,0
110,1,3,300,6,1,1,0,3,24,2,0,0,0,0,1,0,1,0,0,0
31,3,3,600,5,3,2,1,4,16,2,0,0,1,0,1,0,1,0,0,1
94,2,3,1500,6,3,2,1,4,14,2,0,0,1,0,1,0,1,1,0,1
73,2,3,1700,7,4,3,2,4,23,2,1,1,1,0,1,1,1,1,0,1
82,1,3,300,6,2,1,1,3,19,2,0,0,0,0,1,0,1,0,0,0
61,1,3,250,6,0,1,0,2,18,1,0,0,0,0,1,0,1,0,0,0
115,2,3,500,6,3,2,1,3,23,2,1,1,1,1,1,1,1,0,0,1
137,0,3,220,5,2,2,1,3,4,2,0,0,0,0,1,0,1,1,0,0
78,1,3,320,5,2,1,1,3,27,2,0,0,0,0,1,0,1,0,0,0
31,3,1,450,5,3,1,0,3,16,2,0,0,0,0,1,0,1,1,0,1
84,1,3,300,5,3,1,0,3,20,2,0,0,0,0,1,0,1,0,0,0
81,1,3,300,5,0,1,0,3,19,2,0,0,0,0,1,0,1,0,0,0
82,1,3,275,5,3,2,0,3,19,2,0,0,0,0,1,0,1,0,0,0
93,1,3,255,5,2,2,0,3,21,2,0,0,0,0,1,0,1,0,0,0
87,1,3,250,5,2,2,0,3,20,2,0,0,0,0,1,0,1,0,0,0
172,1,3,245,5,3,2,1,2,29,0,0,0,1,0,1,1,1,1,0,0
140,0,3,200,5,3,2,1,3,4,2,0,0,0,0,0,1,0,1,0,0
19,2,1,500,5,2,2,1,3,14,2,0,0,0,0,1,1,1,1,0,1
6,2,3,500,5,3,2,1,3,18,2,1,0,1,0,1,0,1,0,1,1
66,2,1,500,5,3,2,1,3,23,2,0,0,1,0,1,1,1,0,0,1
164,1,1,150,4,0,1,0,2,6,1,0,0,0,0,1,0,0,1,0,0
20,2,3,480,5,3,2,1,3,14,2,2,0,1,0,1,0,1,1,1,1
115,2,2,480,5,3,2,1,3,23,2,0,0,0,2,1,0,1,1,0,0
90,0,1,100,3,0,1,1,2,18,2,0,0,0,0,0,0,0,1,0,0
10,2,1,450,5,2,2,1,3,11,2,0,0,1,0,1,0,1,0,0,1
46,0,3,150,5,0,1,0,2,18,2,0,0,0,0,0,0,0,1,0,0
20,2,3,450,5,3,1,1,3,14,2,2,0,1,0,1,1,1,1,1,0
103,2,1,325,5,3,3,2,3,14,2,0,0,1,0,1,1,1,1,0,1
132,0,3,220,5,2,2,1,3,7,1,0,0,0,0,1,0,1,1,0,0
96,0,3,220,5,3,2,1,3,6,1,0,0,0,0,0,0,0,1,0,0
109,2,3,1700,7,3,2,1,4,16,2,1,0,1,3,1,0,1,0,1,1
0,1,1,250,4,2,1,0,3,7,1,0,0,0,0,1,0,1,1,0,0
144,3,0,250,4,1,1,1,3,14,2,1,0,0,0,1,0,1,1,0,1
121,3,1,300,4,1,1,0,3,16,2,0,0,0,0,1,0,1,1,0,0
17,2,3,1700,7,3,3,2,4,11,2,2,1,1,2,1,0,1,1,0,1
44,0,0,120,3,0,1,0,3,18,2,0,0,0,0,1,0,1,0,0,0
125,0,1,120,3,0,1,0,3,18,2,0,0,0,0,1,0,1,0,0,0
90,0,0,85,2,0,1,0,3,18,2,0,0,0,0,1,0,1,0,0,0
131,0,0,80,2,0,1,0,3,18,2,0,0,0,0,1,0,1,0,0,0
2,0,0,80,2,0,1,0,3,4,2,0,0,0,0,1,0,1,0,0,0
139,0,1,100,3,0,1,0,2,4,2,0,0,0,0,0,0,1,0,0,0
39,0,1,100,3,0,1,0,2,4,2,0,0,0,0,0,0,0,1,0,0
164,1,0,90,2,0,1,0,2,6,1,0,0,0,0,1,0,0,1,0,0
15,2,3,1450,6,3,2,1,4,11,2,0,0,1,0,1,1,1,1,0,1
95,0,0,90,2,0,1,0,3,7,1,0,0,0,0,1,0,1,0,0,0
13,0,0,80,2,0,1,0,2,6,1,0,0,0,0,1,0,1,0,0,0
13,0,0,80,3,0,1,0,2,6,1,0,0,0,0,1,0,0,1,0,0
136,0,1,80,2,0,1,0,2,4,2,0,0,0,0,1,0,1,0,0,0
140,0,0,80,2,0,1,0,2,4,2,0,0,0,0,0,0,1,0,0,0
12,2,3,1200,5,3,2,1,4,14,2,0,0,1,0,1,1,1,1,0,1
48,0,0,80,2,0,1,0,2,18,1,0,0,0,0,0,0,0,1,0,0
109,2,0,480,2,0,1,1,4,16,2,0,0,1,0,1,1,1,1,0,1
96,0,0,80,2,0,1,0,2,6,1,0,0,0,0,0,0,0,1,0,0
111,0,0,80,2,0,1,0,2,6,1,0,0,0,0,0,0,0,1,0,0
176,0,0,80,3,0,1,0,2,18,1,0,0,0,0,0,0,0,0,0,0
33,0,0,75,2,0,1,0,2,7,1,0,0,0,0,1,0,0,0,0,0
168,0,0,75,2,0,1,0,2,7,1,0,0,0,0,1,0,0,0,0,0
15,2,3,1900,8,4,1,1,4,11,2,0,0,1,0,1,0,1,1,0,1
169,1,0,195,3,1,1,0,3,11,2,0,0,0,0,1,0,1,0,0,0
101,2,3,2300,10,5,3,2,4,14,2,0,0,1,0,1,0,1,1,0,1
130,2,3,1600,7,3,2,1,4,12,2,0,0,1,0,1,0,1,0,1,1
20,2,2,2700,12,5,3,2,4,14,2,3,1,1,3,1,1,1,1,0,1
40,1,0,180,3,0,1,0,3,20,2,2,0,1,2,1,0,1,1,0,0
165,1,0,180,3,1,1,0,3,9,2,0,0,0,0,1,0,1,0,0,0
77,1,0,180,3,1,1,0,3,26,2,0,0,0,0,1,0,1,0,0,0
174,1,0,180,3,1,1,0,3,28,0,0,0,0,0,1,0,1,0,0,0
174,1,0,180,4,2,1,0,2,28,0,0,0,0,0,1,0,1,0,0,0
26,1,0,165,3,1,1,0,3,1,2,0,0,0,0,1,0,1,0,0,0
27,1,1,160,3,0,1,0,3,9,2,0,0,0,0,1,0,1,0,0,0
173,1,0,160,3,0,1,0,3,29,0,0,0,0,0,1,0,1,0,0,0
28,1,0,150,3,0,1,0,3,0,2,2,0,1,0,1,0,1,1,1,0
81,1,0,150,3,1,1,0,3,19,2,0,0,0,0,1,0,1,0,0,0
122,0,0,75,2,0,1,0,2,7,1,0,0,0,0,0,0,0,0,0,0
48,0,0,70,2,0,1,0,2,18,1,0,0,0,0,1,0,0,1,0,0
171,1,1,150,3,0,1,0,3,25,0,0,0,0,0,1,0,1,0,0,0
128,1,0,150,3,1,1,0,3,29,0,0,0,0,0,1,0,1,0,0,0
61,1,1,150,3,0,1,0,3,18,1,0,0,0,0,1,0,0,1,0,0
104,0,0,70,2,0,1,0,2,7,1,0,0,0,0,1,0,0,0,0,0
146,1,1,150,3,0,1,0,3,28,0,0,0,0,0,1,0,1,0,0,0
70,2,1,480,2,0,1,1,5,12,2,1,0,0,0,1,0,1,0,0,1
154,1,0,145,3,0,1,0,2,3,0,0,0,0,0,1,0,1,0,0,0
160,0,0,70,2,0,1,0,2,4,2,0,0,0,0,0,0,1,0,0,0
120,1,0,140,2,0,1,0,4,20,2,2,0,1,3,1,1,1,1,0,0
143,1,0,140,2,0,1,0,4,26,2,0,0,1,0,1,0,1,0,0,0
